Name,Area_Loc_time,Price,Area,City,time
Laptop HP core i5 for sale SSD hard 128gb  3th generation,"Pepsi Road, Faisalabad•2 days ago","Rs 35,500",Pepsi Road, Faisalabad,2 days ago
TOSHIBA TECRA A40-C CORE i5 GEN. 6th 4GB RAM 120GB SSD 500GB HDD SLIM,"Kohistan Enclave, Wah•2 days ago","Rs 42,000",Kohistan Enclave, Wah,2 days ago
"core i5 generation 4th, 4gb ram. 200 gb hard","Tillu Road, Sadiqabad•2 days ago","Rs 35,000",Tillu Road, Sadiqabad,2 days ago
"HP Elitebook 840 G4 Core I5 7th Gen (128gb SSD,500gb hard 8gb Ram)","New Multan, Multan•2 days ago","Rs 52,000",New Multan, Multan,2 days ago
laptop core i5 7th gernation latitude 3380,"Khairpur Green Residency, Khairpur•2 days ago","Rs 55,000",Khairpur Green Residency, Khairpur,2 days ago
Hp Laptop Intel core i5 for sale,"Wapda Town, Multan•2 days ago","Rs 40,000",Wapda Town, Multan,2 days ago
Acer Aspire 5742 1GB Graphic Card Core i5 1st Gen4 GBRam 320GB HDD,"Punjab Coop Housing - Block F2, Lahore•2 days ago","Rs 20,500",Punjab Coop Housing - Block F2, Lahore,2 days ago
Dell Latitude 7400 2in1 Core i5 8th Gen 16GB Ram 256 SSD,"University Road, Peshawar•2 days ago","Rs 110,000",University Road, Peshawar,2 days ago
Core i5 5th Gen. +2gb Graphic Card  Hp 15 Notebook pc(Read Full Add),"Sargodha, Punjab•2 days ago","Rs 46,000",Sargodha, Punjab,2 days ago
"Lenovo 3rd generation, model: T430, core i5, window 10","Khalabat Township, Haripur•2 days ago","Rs 11,000",Khalabat Township, Haripur,2 days ago
core i5 6th gen,"Buffer Zone 2, Karachi•2 days ago","Rs 34,000",Buffer Zone 2, Karachi,2 days ago
HP core i5 6th generation 8GB RAM 256GB SSD Tab & Touch,"Ghazikot Township, Mansehra•2 days ago","Rs 57,000",Ghazikot Township, Mansehra,2 days ago
Dell core i5 6th generation,"Ghauri Town, Rawalpindi•2 days ago","Rs 48,000",Ghauri Town, Rawalpindi,2 days ago
HP 840G3 Slim laptop Core i5 6th Gen 8 GB 128 GB SSD 500 GB,"Punjab Coop Housing - Block F2, Lahore•2 days ago","Rs 51,500",Punjab Coop Housing - Block F2, Lahore,2 days ago
Dell Latitude E5530 10 by 10 Core i5 3nd Gen 4GB Ram 320GB HDD,"Punjab Coop Housing - Block F2, Lahore•2 days ago","Rs 29,999",Punjab Coop Housing - Block F2, Lahore,2 days ago
HP Elitebook Core i5 8th Gen,"Ghauri Town Phase 4A, Islamabad•2 days ago","Rs 90,000",Ghauri Town Phase 4A, Islamabad,2 days ago
Fujitsu Core I5 4th generation battery not working,"Johar Town Phase 1, Lahore•2 days ago","Rs 13,500",Johar Town Phase 1, Lahore,2 days ago
